the	{"determiner": ["cái", "con", "những"]}
thomist	{"noun": ["người theo chủ nghĩa Thomas"]}
helium-3	{"noun": ["heli-3"]}
market-share	{"noun": ["thị phần"]}
drive-up	{"adjective": ["lái xe đến"], "noun": ["dịch vụ lái xe đến"]}
christmas-tree	{"noun": ["cây thông Noel"]}
unpublicized	{"adjective": ["không được công khai"]}
superfluity	{"noun": ["sự thừa thãi"]}
blinkers	{"noun": ["tấm che mắt ngựa", "đèn xi nhan"]}
colored-pencil	{"noun": ["bút chì màu"]}
saturnian	{"adjective": ["thuộc sao Thổ"]}
trichloroethylene	{"noun": ["trichloroethylene"]}
unheroic	{"adjective": ["không anh hùng"]}
campion	{"noun": ["cây cẩm chướng dại"]}
autosomal	{"adjective": ["thuộc nhiễm sắc thể thường"]}
post-invasion	{"adjective": ["hậu xâm lược"]}
water-boarding	{"noun": ["tra tấn bằng cách dội nước"]}
autoantibody	{"noun": ["tự kháng thể"]}
transduction	{"noun": ["sự chuyển nạp", "sự biến đổi"]}
orienting	{"verb": ["định hướng"]}
heterozygous	{"adjective": ["dị hợp tử"]}
cross-examining	{"verb": ["hỏi cung", "thẩm vấn"]}
dual-career	{"adjective": ["hai nghề nghiệp"]}
password-protected	{"adjective": ["được bảo vệ bằng mật khẩu"]}
yogic	{"adjective": ["thuộc yoga"]}
sundew	{"noun": ["cây gọng vó"]}
sandcastle	{"noun": ["lâu đài cát"]}
active-matrix	{"adjective": ["ma trận chủ động"]}
intersubjectivity	{"noun": ["tính liên chủ quan"]}
nonvisual	{"adjective": ["phi thị giác"]}
permittee	{"noun": ["người được cấp phép"]}
nonchemical	{"adjective": ["phi hóa học"]}
brilliancy	{"noun": ["sự rực rỡ", "sự thông minh"]}
in-demand	{"adjective": ["được ưa chuộng", "có nhu cầu cao"]}
heartwood	{"noun": ["lõi gỗ"]}
first-world	{"adjective": ["thuộc thế giới thứ nhất"]}
overstock	{"noun": ["hàng tồn kho quá nhiều"], "verb": ["tích trữ quá nhiều"]}
confusedly	{"adverb": ["một cách bối rối"]}
crawlspace	{"noun": ["không gian bò (dưới sàn nhà)"]}
shipowner	{"noun": ["chủ tàu"]}
acceptor	{"noun": ["người chấp nhận", "chất nhận"]}
jonquil	{"noun": ["hoa thủy tiên vàng"]}
non-party	{"adjective": ["không thuộc đảng phái"]}
habit-forming	{"adjective": ["gây nghiện"]}
theory-based	{"adjective": ["dựa trên lý thuyết"]}
tube-like	{"adjective": ["giống ống"]}
four-pound	{"adjective": ["bốn pound"]}
evanescence	{"noun": ["sự biến mất", "sự phù du"]}
unwrinkled	{"adjective": ["không nhăn"]}
pusillanimous	{"adjective": ["nhút nhát", "hèn nhát"]}
rent-controlled	{"adjective": ["được kiểm soát giá thuê"]}
sublimated	{"verb": ["thăng hoa"]}
brown-bag	{"adjective": ["tự mang đồ ăn trưa"], "verb": ["tự mang đồ ăn trưa"]}
fifty-seventh	{"adjective": ["thứ năm mươi bảy"]}
norte	{"noun": ["phía bắc"]}
oxycodone	{"noun": ["oxycodone"]}
linnaean	{"adjective": ["thuộc Linnaeus"]}
must-read	{"adjective": ["nhất định phải đọc"], "noun": ["sách nhất định phải đọc"]}
decalogue	{"noun": ["mười điều răn"]}
popover	{"noun": ["bánh popover"]}
mineralogy	{"noun": ["khoáng vật học"]}
bituminous	{"adjective": ["chứa bitum"]}
bolivarian	{"adjective": ["thuộc Bolivar"]}
purism	{"noun": ["chủ nghĩa thuần túy"]}
by-play	{"noun": ["hành động phụ", "lời nói phụ"]}
thick-walled	{"adjective": ["thành dày"]}
breaching	{"verb": ["phá vỡ", "vi phạm"]}
wastefulness	{"noun": ["sự lãng phí"]}
secretively	{"adverb": ["một cách bí mật"]}
headstart	{"noun": ["lợi thế ban đầu"]}
harridan	{"noun": ["mụ đàn bà đanh đá"]}
cockatiel	{"noun": ["vẹt mào"]}
long-life	{"adjective": ["tuổi thọ cao", "lâu dài"]}
submissively	{"adverb": ["một cách phục tùng"]}
mispronunciation	{"noun": ["sự phát âm sai"]}
kohl	{"noun": ["bột chì kẻ mắt"]}
folk-art	{"noun": ["nghệ thuật dân gian"]}
communistic	{"adjective": ["thuộc cộng sản"]}
big-bellied	{"adjective": ["bụng to"]}
claw-like	{"adjective": ["giống móng vuốt"]}
tubule	{"noun": ["ống nhỏ"]}
presidium	{"noun": ["đoàn chủ tịch"]}
biotechnological	{"adjective": ["thuộc công nghệ sinh học"]}
taverna	{"noun": ["quán rượu nhỏ"]}
user-defined	{"adjective": ["do người dùng định nghĩa"]}
drainer	{"noun": ["ống thoát nước", "người rút nước"]}
extra-firm	{"adjective": ["cực kỳ chắc"]}
wishing	{"verb": ["ước", "mong muốn"]}
whole-house	{"adjective": ["toàn bộ ngôi nhà"]}
sinusoidal	{"adjective": ["hình sin"]}
inauthenticity	{"noun": ["sự không xác thực"]}
single-cell	{"adjective": ["đơn bào"]}
cyclamen	{"noun": ["hoa anh thảo"]}
disease-carrying	{"adjective": ["mang mầm bệnh"]}
fundraise	{"verb": ["gây quỹ"]}
rock-ribbed	{"adjective": ["kiên định", "vững chắc"]}
surliness	{"noun": ["sự cáu kỉnh", "sự gắt gỏng"]}
scow	{"noun": ["xà lan đáy bằng"]}
theodicy	{"noun": ["thần học biện hộ"]}
oooo	{"interjection": ["ồ"]}
wine-tasting	{"noun": ["thử rượu vang"]}
non-combat	{"adjective": ["phi chiến đấu"]}
rhabdomyosarcoma	{"noun": ["u cơ vân"]}
hard-disk	{"noun": ["ổ cứng"]}
hortatory	{"adjective": ["khuyến khích", "khuyên nhủ"]}
blue-blooded	{"adjective": ["dòng dõi quý tộc"]}
energetics	{"noun": ["năng lượng học"]}
lessor	{"noun": ["người cho thuê"]}
testis	{"noun": ["tinh hoàn"]}
uncreative	{"adjective": ["không sáng tạo"]}
eighth-largest	{"adjective": ["lớn thứ tám"]}
bareness	{"noun": ["sự trần trụi", "sự trống trải"]}
autodidact	{"noun": ["người tự học"]}
sacrificed	{"verb": ["hy sinh"]}
authorizing	{"verb": ["cho phép", "ủy quyền"]}
hawser	{"noun": ["dây cáp lớn"]}
tympanum	{"noun": ["màng nhĩ", "trống (kiến trúc)"]}
precipitator	{"noun": ["máy lọc bụi tĩnh điện"]}
tonelessly	{"adverb": ["một cách đơn điệu"]}
spacewalker	{"noun": ["người đi bộ ngoài không gian"]}
recusal	{"noun": ["sự từ chối (tham gia)"]}
heat-related	{"adjective": ["liên quan đến nhiệt"]}
crew-cut	{"noun": ["kiểu tóc húi cua"]}
space-faring	{"adjective": ["du hành vũ trụ"]}
rip-roaring	{"adjective": ["ồn ào", "náo nhiệt"]}
butchering	{"verb": ["giết mổ", "tàn sát"]}
neon-lit	{"adjective": ["được chiếu sáng bằng đèn neon"]}
blazingly	{"adverb": ["một cách rực rỡ", "một cách chói lọi"]}
overexcited	{"adjective": ["quá khích", "quá phấn khích"]}
reassume	{"verb": ["tái đảm nhận", "lấy lại"]}
untiring	{"adjective": ["không mệt mỏi"]}
scepticism	{"noun": ["chủ nghĩa hoài nghi"]}
lion-hearted	{"adjective": ["dũng cảm", "gan dạ"]}
suggestiveness	{"noun": ["tính gợi ý", "tính ám chỉ"]}
reformism	{"noun": ["chủ nghĩa cải cách"]}
dendritic	{"adjective": ["hình cây", "dạng nhánh cây"]}
emulator	{"noun": ["trình giả lập"]}
zoomorphic	{"adjective": ["hình động vật"]}
cross-functional	{"adjective": ["đa chức năng"]}
semi-independent	{"adjective": ["bán độc lập"]}
cytotoxic	{"adjective": ["độc tế bào"]}
snidely	{"adverb": ["một cách mỉa mai"]}
thirty-odd	{"adjective": ["khoảng ba mươi"]}
implausibility	{"noun": ["sự phi lý", "sự khó tin"]}
budget-minded	{"adjective": ["quan tâm đến ngân sách"]}
declamatory	{"adjective": ["hùng biện", "diễn thuyết"]}
trademarked	{"adjective": ["đã đăng ký nhãn hiệu"]}
stroking	{"verb": ["vuốt ve", "xoa bóp"]}
bumptious	{"adjective": ["tự phụ", "kiêu căng"]}
three-word	{"adjective": ["ba từ"]}
proprioceptive	{"adjective": ["thuộc cảm thụ bản thể"]}
theist	{"noun": ["người theo thuyết hữu thần"]}
zoroastrian	{"adjective": ["thuộc Zoroaster"]}
unarmored	{"adjective": ["không có áo giáp"]}
contestable	{"adjective": ["có thể tranh cãi"]}
hydrodynamics	{"noun": ["thủy động lực học"]}
non-institutional	{"adjective": ["phi thể chế"]}
telegraphic	{"adjective": ["ngắn gọn", "như điện báo"]}
swaddled	{"verb": ["quấn tã"]}
carmine	{"noun": ["màu đỏ thẫm"], "adjective": ["đỏ thẫm"]}
embraceable	{"adjective": ["có thể ôm được", "đáng yêu"]}
prejudgment	{"noun": ["sự định kiến", "sự phán xét trước"]}
five-pointed	{"adjective": ["năm cánh"]}
white-dominated	{"adjective": ["do người da trắng thống trị"]}
adoptable	{"adjective": ["có thể nhận nuôi"]}
arousing	{"verb": ["gây ra", "khơi dậy"]}
human-to-human	{"adjective": ["từ người sang người"]}
disinflation	{"noun": ["giảm phát"]}
attainder	{"noun": ["sự tước quyền công dân"]}
impotency	{"noun": ["sự bất lực", "sự yếu đuối"]}
genet	{"noun": ["cầy gen"]}
fresh-tasting	{"adjective": ["tươi ngon"]}
time-release	{"adjective": ["phóng thích chậm"]}
shiite-dominated	{"adjective": ["do người Shiite thống trị"]}
non-cognitive	{"adjective": ["phi nhận thức"]}
doxology	{"noun": ["bài ca ngợi Chúa"]}
sino-indian	{"adjective": ["thuộc Trung-Ấn"]}
misinformed	{"adjective": ["bị thông tin sai lệch"]}
hypocritically	{"adverb": ["một cách đạo đức giả"]}
grabby	{"adjective": ["tham lam", "hay vồ lấy"]}
cloak-and-dagger	{"adjective": ["bí mật", "lén lút"]}
medium-length	{"adjective": ["độ dài trung bình"]}
screensaver	{"noun": ["trình bảo vệ màn hình"]}
adenoidectomy	{"noun": ["cắt amidan"]}
bait-casting	{"noun": ["câu cá bằng mồi giả"]}
harbormaster	{"noun": ["cảng vụ trưởng"]}
on-course	{"adjective": ["đúng hướng"], "adverb": ["đúng hướng"]}
discrediting	{"verb": ["làm mất uy tín", "làm mất thể diện"]}
dust-free	{"adjective": ["không bụi", "sạch bụi"]}
fan-like	{"adjective": ["giống quạt", "hình quạt"]}
windbag	{"noun": ["kẻ ba hoa", "người khoác lác"]}
legendarily	{"adverb": ["một cách huyền thoại", "như huyền thoại"]}
frost-free	{"adjective": ["không đóng băng", "không có sương giá"]}
postcard-perfect	{"adjective": ["đẹp như tranh vẽ", "hoàn hảo như bưu thiếp"]}
damndest	{"adjective": ["khốn kiếp nhất", "tệ hại nhất"]}
soya	{"noun": ["đậu nành"]}
multi-jurisdictional	{"adjective": ["đa thẩm quyền", "liên quan đến nhiều khu vực pháp lý"]}
brimmed	{"verb": ["đầy ắp", "tràn đầy"]}
crime-free	{"adjective": ["không có tội phạm", "an toàn"]}
edelweiss	{"noun": ["hoa nhung tuyết"]}
canadian-american	{"adjective": ["thuộc về Canada và Mỹ", "Canada-Mỹ"]}
ryegrass	{"noun": ["cỏ lồng vực"]}
thru-hiker	{"noun": ["người đi bộ đường dài"]}
reel-to-reel	{"adjective": ["băng cối", "cuộn băng"]}
duct-taped	{"verb": ["dán bằng băng keo"]}
anti-violence	{"adjective": ["chống bạo lực"]}
long-barreled	{"adjective": ["nòng dài"]}
low-water	{"adjective": ["mực nước thấp"]}
jitney	{"noun": ["xe buýt nhỏ", "xe khách nhỏ"]}
hie	{"verb": ["đi nhanh", "vội vã"]}
tax-sheltered	{"adjective": ["được miễn thuế", "được bảo vệ thuế"]}
ferrule	{"noun": ["vòng kim loại", "đầu bịt kim loại"]}
grey-haired	{"adjective": ["tóc bạc", "tóc hoa râm"]}
free-born	{"adjective": ["sinh ra tự do"]}
flitter	{"verb": ["bay lượn", "chao liệng"]}
chitin	{"noun": ["chitin"]}
undercard	{"noun": ["trận đấu phụ", "các trận đấu trước trận chính"]}
fluvial	{"adjective": ["thuộc về sông", "do sông tạo thành"]}
obsolescent	{"adjective": ["đang lỗi thời", "đang trở nên lỗi thời"]}
effacement	{"noun": ["sự xóa bỏ", "sự làm mờ"]}
dago	{"noun": ["(từ lóng xúc phạm) người Ý", "(từ lóng xúc phạm) người Tây Ban Nha"]}
somnolence	{"noun": ["sự buồn ngủ", "trạng thái mơ màng"]}
fade-out	{"noun": ["sự mờ dần", "sự tắt dần"]}
entropic	{"adjective": ["thuộc về entropy"]}
run-scoring	{"adjective": ["ghi điểm", "tạo điểm"]}
trawling	{"verb": ["đánh bắt bằng lưới kéo", "rà soát"]}
moue	{"noun": ["mặt nhăn nhó", "mặt phụng phịu"]}
chiastic	{"adjective": ["có cấu trúc đối xứng", "theo kiểu chiastic"]}
indigenization	{"noun": ["sự bản địa hóa"]}
water-supply	{"noun": ["nguồn cung cấp nước", "hệ thống cấp nước"]}
self-promoting	{"adjective": ["tự quảng bá", "tự lăng xê"]}
characterless	{"adjective": ["vô vị", "nhạt nhẽo", "không có cá tính"]}
security-conscious	{"adjective": ["có ý thức về an ninh", "đề cao an ninh"]}
grotesquerie	{"noun": ["sự kỳ quái", "sự quái dị"]}
luxuriantly	{"adverb": ["một cách xa hoa", "một cách phong phú"]}
decent-sized	{"adjective": ["có kích thước vừa phải", "khá lớn"]}
half-page	{"noun": ["nửa trang"]}
politesse	{"noun": ["sự lịch sự", "phép lịch sự"]}
wedgie	{"noun": ["kẹp quần lót", "kẹp quần"]}
wrongful-death	{"noun": ["cái chết oan", "cái chết do sơ suất"]}
incontrovertibly	{"adverb": ["một cách không thể chối cãi", "một cách hiển nhiên"]}
ten-point	{"adjective": ["mười điểm", "có mười điểm"]}
located	{"verb": ["được đặt", "nằm ở"]}
unworried	{"adjective": ["không lo lắng", "thản nhiên"]}
yellow-orange	{"adjective": ["vàng cam"]}
hard-eyed	{"adjective": ["mắt lạnh lùng", "mắt sắc sảo"]}
knock-kneed	{"adjective": ["chân vòng kiềng", "đầu gối chụm vào nhau"]}
six-and-a-half	{"adjective": ["sáu rưỡi"]}
excused	{"verb": ["được tha thứ", "được miễn"]}
deflected	{"verb": ["làm lệch hướng", "chệch hướng"]}
rancheria	{"noun": ["khu định cư của người Mỹ bản địa"]}
slave-holding	{"adjective": ["chủ nô", "sở hữu nô lệ"]}
dwarfish	{"adjective": ["lùn", "nhỏ bé"]}
greek-style	{"adjective": ["kiểu Hy Lạp"]}
evilly	{"adverb": ["một cách độc ác", "một cách tàn nhẫn"]}
pervading	{"verb": ["lan tỏa", "thấm nhuần"]}
hokey	{"adjective": ["sến sẩm", "giả tạo"]}
close-set	{"adjective": ["gần nhau", "sát nhau"]}
numismatic	{"adjective": ["thuộc về tiền tệ", "thuộc về sưu tầm tiền xu"]}
one-parent	{"adjective": ["một cha/mẹ", "đơn thân"]}
poplin	{"noun": ["vải poplin"]}
fifty-foot	{"adjective": ["dài năm mươi foot"]}
reciprocation	{"noun": ["sự đáp lại", "sự trao đổi"]}
conflict-ridden	{"adjective": ["đầy xung đột", "tràn ngập xung đột"]}
bottle-fed	{"adjective": ["bú bình", "được cho ăn bằng bình"]}
leprous	{"adjective": ["bị bệnh phong", "bị hủi"]}
physician-patient	{"adjective": ["bác sĩ-bệnh nhân"]}
flagged	{"verb": ["đánh dấu", "gắn cờ"]}
unstressed	{"adjective": ["không căng thẳng", "không bị nhấn"]}
interbank	{"adjective": ["liên ngân hàng"]}
hypo	{"noun": ["thuốc tiêm dưới da", "dung dịch hypo"]}
oryx	{"noun": ["linh dương sừng kiếm"]}
bioregion	{"noun": ["vùng sinh thái"]}
high-sulfur	{"adjective": ["chứa nhiều lưu huỳnh"]}
parastatal	{"adjective": ["bán quốc doanh", "thuộc về tổ chức bán nhà nước"]}
exfoliator	{"noun": ["chất tẩy tế bào chết", "dụng cụ tẩy tế bào chết"]}
disinhibition	{"noun": ["sự mất ức chế", "sự giải tỏa"]}
ethnolinguistic	{"adjective": ["thuộc về dân tộc và ngôn ngữ"]}
internet-only	{"adjective": ["chỉ có trên internet", "chỉ trực tuyến"]}
cookhouse	{"noun": ["nhà bếp", "nhà ăn"]}
eighth-seeded	{"adjective": ["hạt giống thứ tám"]}
parapsychology	{"noun": ["cận tâm lý học"]}
orchestrator	{"noun": ["người phối khí", "người dàn dựng"]}
whitening	{"noun": ["sự làm trắng", "chất làm trắng"]}
non-mainstream	{"adjective": ["không chính thống", "ngoài dòng chính"]}
ah-hah	{"interjection": ["à há", "ồ"]}
second-time	{"adjective": ["lần thứ hai"]}
least-cost	{"adjective": ["chi phí thấp nhất"]}
centralizing	{"verb": ["tập trung hóa"]}
hot-weather	{"adjective": ["thời tiết nóng"]}
cosine	{"noun": ["cosin"]}
formalist	{"noun": ["người theo chủ nghĩa hình thức"]}
deified	{"verb": ["thần thánh hóa", "tôn sùng"]}
disliked	{"verb": ["không thích", "ghét"]}
tittle	{"noun": ["dấu chấm nhỏ", "chấm câu"]}
well-taken	{"adjective": ["được đón nhận", "được chấp nhận"]}
down-turned	{"adjective": ["cụp xuống", "hướng xuống"]}
full-tilt	{"adverb": ["hết tốc lực", "hết sức"]}
stocked	{"verb": ["được dự trữ", "đầy ắp"]}
four-acre	{"adjective": ["bốn mẫu"]}
confiscatory	{"adjective": ["tịch thu", "có tính chất tịch thu"]}
violence-prone	{"adjective": ["dễ gây bạo lực", "có xu hướng bạo lực"]}
cribbage	{"noun": ["cờ cribbage"]}
half-length	{"adjective": ["nửa chiều dài", "dài nửa người"]}
rootlessness	{"noun": ["sự mất gốc", "tình trạng không có quê hương"]}
smidge	{"noun": ["một chút", "một ít"]}
ammonite	{"noun": ["hóa thạch ammonit"]}
evocatively	{"adverb": ["một cách gợi cảm", "một cách gợi nhớ"]}
repetitiveness	{"noun": ["tính lặp đi lặp lại", "sự lặp lại"]}
stone-walled	{"verb": ["bị cản trở", "bị từ chối"]}
love-struck	{"adjective": ["đang yêu", "say đắm trong tình yêu"]}
fissured	{"adjective": ["nứt nẻ", "có vết nứt"]}
anesthetized	{"verb": ["gây mê", "làm mất cảm giác"]}
white-out	{"noun": ["bão tuyết trắng xóa", "tình trạng mất tầm nhìn do tuyết"]}
state-centered	{"adjective": ["lấy nhà nước làm trung tâm"]}
car-pool	{"noun": ["đi chung xe", "nhóm đi chung xe"]}
